a2092723.262612
L'Aquila 27/09/2020 23:26:09 27/09/2020 23:26:26 0650 0013.384373 0052.542185 00.0 00.0
0000500 0010 0000000 0010 05 0000000 0000 0000000 0000
1 0 1 16380 0 0800 3.75 00355.o 0 0 02 000 12 000500 0.500 BT0 "ch1 UV-AIR"
1 2 1 04090 0 0800 3.75 00355.o 0 0 02 000 12 000500 0.500 S2A0 "ch1 UV-AIR"
1 1 1 16380 0 0800 3.75 00355.o 0 0 00 000 00 000500 3.1746 BC0 "ch1 UV-AIR"
1 3 1 04090 0 0800 3.75 00355.o 0 0 00 000 00 000500 3.1746 S2P0 "ch1 UV-AIR"
1 1 1 16380 1 0800 3.75 00386.o 0 0 00 000 00 000500 3.1746 BC1 "ch2 UV-N2"
355.000 .o Analog 0 	355.000 .o Analog StDev 0 	355.000 .o Photon Counting 0 	355.000 .o PC StDev 0 	386.000 .o Photon Counting 1 
0.976801	0.0154539	0	0	0.08
0.985592	0.0155304	0	0	0
0.963614	0.0153556	0	0	0.08
1.00391	0.0156725	0.08	0.0787884	0.08
1.04176	0.0159676	0.08	0.0787884	0.08
0.965079	0.0153665	0	0	0
1.01978	0.0157927	0.08	0.0787884	0
0.972405	0.0154212	0	0	0
1.0188	0.0157818	0.08	0.0787884	0
0.996093	0.0156069	0.08	0.0787884	0
0.991453	0.0155742	0	0	0.08
0.977045	0.0154539	0	0	0
1.00391	0.0156725	0.08	0.0787884	0.08
0.959707	0.0153228	0	0	0.08
1.04054	0.0159567	0.08	0.0787884	0.08
1.04029	0.0159458	0.08	0.0787884	0.08
1.0044	0.0156725	0.08	0.0787884	0
0.999512	0.0156397	0.08	0.0787884	0.08
0.993651	0.0155851	0.08	0.0787884	0
0.967521	0.0153774	0	0	0
0.957265	0.0153009	0	0	0
0.988767	0.0155523	0	0	0.08
1.02613	0.0158474	0.08	0.0787884	0.08
0.958242	0.0153119	0	0	0.08
1.02906	0.0158692	0.08	0.0787884	0.08
1.0337	0.015902	0.08	0.0787884	0.08
1.00195	0.0156507	0.08	0.0787884	0
0.977778	0.0154649	0	0	0
1.04151	0.0159567	0.08	0.0787884	0.08
0.960928	0.0153337	0	0	0.08
1.00415	0.0156725	0.08	0.0787884	0
0.985104	0.0155195	0	0	0
0.991941	0.0155742	0	0	0.08
1.0188	0.0157818	0.08	0.0787884	0.08
1.01172	0.0157272	0.08	0.0787884	0.08
0.962393	0.0153446	0	0	0
0.994383	0.015596	0.08	0.0787884	0.08
1.0083	0.0157053	0.08	0.0787884	0.08
1.01856	0.0157818	0.08	0.0787884	0.08
1.00024	0.0156397	0.08	0.0787884	0
1.02002	0.0157927	0.08	0.0787884	0.08
0.956288	0.01529	0	0	0.08
0.992186	0.0155742	0	0	0.08
1.01685	0.0157709	0.08	0.0787884	0.08
1.01758	0.0157709	0.08	0.0787884	0.08
0.999267	0.0156288	0.08	0.0787884	0.08
0.985348	0.0155195	0	0	0
0.957021	0.0153009	0	0	0.08
0.990965	0.0155632	0	0	0
1.00024	0.0156397	0.08	0.0787884	0.08
0.965568	0.0153665	0	0	0.08
1.02857	0.0158583	0.08	0.0787884	0
0.965324	0.0153665	0	0	0
1.00464	0.0156725	0.08	0.0787884	0
0.965324	0.0153665	0	0	0
1.01001	0.0157162	0.08	0.0787884	0.08
0.990476	0.0155632	0	0	0.08
1.0359	0.015913	0.08	0.0787884	0.08
1.03785	0.0159348	0.08	0.0787884	0.08
1.01343	0.0157381	0.08	0.0787884	0.08
1.00049	0.0156397	0.08	0.0787884	0.08
0.993651	0.0155851	0.08	0.0787884	0
0.963858	0.0153556	0	0	0
0.992186	0.0155742	0	0	0.08
1.00488	0.0156725	0.08	0.0787884	0.08
0.997802	0.0156179	0.08	0.0787884	0
0.986813	0.0155304	0	0	0.08
1.03419	0.015902	0.08	0.0787884	0.08
0.994139	0.015596	0.08	0.0787884	0
1.00293	0.0156616	0.08	0.0787884	0.08
1.00073	0.0156397	0.08	0.0787884	0
0.958242	0.0153119	0	0	0.08
1.02735	0.0158474	0.08	0.0787884	0.08
1.01783	0.0157818	0.08	0.0787884	0.08
0.956777	0.0153009	0	0	0.08
1.02613	0.0158474	0.08	0.0787884	0.08
0.964591	0.0153556	0	0	0.08
1.03468	0.015902	0.08	0.0787884	0.08
0.970452	0.0154102	0	0	0.08
0.974115	0.0154321	0	0	0.08
1.00391	0.0156725	0.08	0.0787884	0.08
0.993651	0.0155851	0.08	0.0787884	0.08
0.973138	0.0154212	0	0	0.08
1.03053	0.0158802	0.08	0.0787884	0
0.968498	0.0153884	0	0	0.08
1.03077	0.0158802	0.08	0.0787884	0
0.994628	0.015596	0.08	0.0787884	0
1.00586	0.0156835	0.08	0.0787884	0.08
0.969963	0.0153993	0	0	0
0.977289	0.0154649	0	0	0
0.964835	0.0153665	0	0	0.08
0.989499	0.0155523	0	0	0
0.984371	0.0155195	0	0	0
1.0105	0.0157162	0.08	0.0787884	0.08
1.02027	0.0157927	0.08	0.0787884	0.08
0.965324	0.0153665	0	0	0
0.957998	0.0153119	0	0	0.08
1.01783	0.0157818	0.08	0.0787884	0
1.01709	0.0157709	0.08	0.0787884	0.08
0.996337	0.0156069	0.08	0.0787884	0.08
1.0232	0.0158146	0.08	0.0787884	0
1.02149	0.0158037	0.08	0.0787884	0
0.985836	0.0155304	0	0	0.08
0.957753	0.0153009	0	0	0.08
0.969475	0.0153993	0	0	0.08
0.970696	0.0154102	0	0	0
0.98779	0.0155414	0	0	0.08
0.974847	0.015443	0	0	0
0.964103	0.0153556	0	0	0
1.02418	0.0158255	0.08	0.0787884	0.08
0.964591	0.0153556	0	0	0
0.961172	0.0153337	0	0	0
1.0337	0.015902	0.08	0.0787884	0.08
1.01441	0.015749	0.08	0.0787884	0
1.04322	0.0159785	0.08	0.0787884	0
0.968254	0.0153884	0	0	0.08
0.956288	0.01529	0	0	0.08
0.977534	0.0154649	0	0	0.08
0.994383	0.015596	0.08	0.0787884	0.08
1.02393	0.0158255	0.08	0.0787884	0
1.04029	0.0159458	0.08	0.0787884	0
1.0188	0.0157818	0.08	0.0787884	0.08
1.01538	0.01576	0.08	0.0787884	0.08
1.00855	0.0157053	0.08	0.0787884	0.08
0.99243	0.0155742	0	0	0.08
0.961661	0.0153337	0	0	0.08
0.970208	0.0153993	0	0	0
1.02857	0.0158583	0.08	0.0787884	0.08
1.03126	0.0158802	0.08	0.0787884	0
0.969963	0.0153993	0	0	0.08
1.02027	0.0157927	0.08	0.0787884	0.08
1.0127	0.0157381	0.08	0.0787884	0
1.02906	0.0158692	0.08	0.0787884	0.08
1.01221	0.0157381	0.08	0.0787884	0
0.976313	0.0154539	0	0	0
1.00195	0.0156507	0.08	0.0787884	0
1.00806	0.0157053	0.08	0.0787884	0.08
0.982906	0.0155086	0	0	0
0.959951	0.0153228	0	0	0.08
0.978755	0.0154758	0	0	0.08
1.01807	0.0157818	0.08	0.0787884	0.08
1.0083	0.0157053	0.08	0.0787884	0.08
0.958974	0.0153119	0	0	0.08
0.960928	0.0153337	0	0	0.08
0.985592	0.0155304	0	0	0
1.03223	0.0158911	0.08	0.0787884	0
0.99072	0.0155632	0	0	0.08
1.01636	0.01576	0.08	0.0787884	0.08
0.992186	0.0155742	0	0	0
0.994628	0.015596	0.08	0.0787884	0.08
0.962149	0.0153446	0	0	0.08
0.976801	0.0154539	0	0	0.08
1.00317	0.0156616	0.08	0.0787884	0.08
1.01172	0.0157272	0.08	0.0787884	0.08
0.991453	0.0155742	0	0	0.08
1.03223	0.0158911	0.08	0.0787884	0
0.993651	0.0155851	0.08	0.0787884	0.08
1.00977	0.0157162	0.08	0.0787884	0.08
1.0315	0.0158802	0.08	0.0787884	0
1.04298	0.0159676	0.08	0.0787884	0.08
1.00513	0.0156835	0.08	0.0787884	0
1.02295	0.0158146	0.08	0.0787884	0
0.993895	0.015596	0.08	0.0787884	0.08
0.967521	0.0153774	0	0	0
1.09328	0.0163501	12.64	1.00634	11.2
1.4735	0.0189841	39.68	1.78348	27.36
1.75116	0.020689	58.32	2.1631	51.84
2.06593	0.0224814	68.96	2.34933	66.8
2.39365	0.0241973	80.24	2.53555	84.32
2.83443	0.0263285	91.44	2.70746	97.44
3.38901	0.0287876	100.48	2.83638	101.76
3.82198	0.0305691	106.8	2.92592	106.24
4.33748	0.0325691	112.24	3.00112	114.64
4.94383	0.0347768	117.2	3.06559	116.72
5.81978	0.0377277	122.8	3.13721	119.84
6.09084	0.0385911	124.4	3.1587	124.16
7.01612	0.0414218	128.32	3.20884	126.08
7.61026	0.0431377	130.24	3.23033	130.16
7.53236	0.0429191	130	3.22674	132.08
8.70085	0.0461323	133.44	3.26972	132.8
9.36068	0.0478482	134.96	3.28763	134.56
9.58584	0.0484165	135.44	3.29479	134.4
10.1812	0.0499029	136.64	3.30911	136.08
10.3907	0.0504056	136.96	3.31269	137.12
11.4252	0.0528647	138.64	3.33418	138.24
11.9656	0.0540997	139.44	3.34493	139.28
11.4755	0.052974	138.8	3.33418	138.88
13.019	0.0564276	140.72	3.35925	140.16
13.1294	0.0566681	140.88	3.35925	140.32
13.7575	0.0580015	141.6	3.37	140.64
13.8335	0.0581654	141.6	3.37	142.32
14.9189	0.0604059	142.64	3.38074	141.84
15.3118	0.0611928	143.04	3.3879	142.32
15.0886	0.0607447	142.8	3.38432	142.72
15.9197	0.062395	143.52	3.39148	143.6
15.7414	0.0620453	143.36	3.39148	143.6
16.0947	0.0627447	143.6	3.39148	143.92
16.6044	0.0637284	144	3.39865	144.4
17.4581	0.0653459	144.56	3.40223	144.08
17.4085	0.0652475	144.56	3.40223	144.56
18.1568	0.0666355	145.04	3.40939	145.04
17.8063	0.0659907	144.8	3.40581	145.28
18.3634	0.0670181	145.12	3.40939	145.12
19.6796	0.0693788	145.84	3.42013	145.68
19.252	0.0686137	145.6	3.41655	145.44
19.2862	0.0686793	145.6	3.41655	145.6
20.3954	0.0706247	146.24	3.42372	145.84
20.9363	0.0715537	146.48	3.4273	146
20.1299	0.0701657	146.08	3.42372	146.64
21.3702	0.0722969	146.64	3.4273	146.4
21.5614	0.0726138	146.72	3.43088	146.4
21.4972	0.0725045	146.72	3.43088	146.96
21.5624	0.0726138	146.72	3.43088	146.88
21.9465	0.0732587	146.88	3.43088	147.2
21.9817	0.0733242	146.88	3.43088	147.28
22.9485	0.0749199	147.28	3.43804	146.96
22.3839	0.0739909	147.04	3.43446	147.2
22.5692	0.0742969	147.12	3.43446	146.96
23.8879	0.0764391	147.68	3.44162	147.12
23.0098	0.0750183	147.36	3.43804	147.36
24.0176	0.0766467	147.68	3.44162	147.44
23.5758	0.0759363	147.52	3.43804	147.36
24.1531	0.0768544	147.68	3.44162	147.36
23.2547	0.0754117	147.36	3.43804	147.84
24.8325	0.0779364	148	3.4452	147.76
24.0276	0.0766577	147.68	3.44162	147.84
24.8125	0.0779036	148	3.4452	148.08
25.275	0.0786249	148.08	3.4452	148
24.5319	0.0774555	147.84	3.44162	148.08
25.4005	0.0788216	148.16	3.4452	147.84
24.4466	0.0773243	147.84	3.44162	148.08
24.589	0.0775539	147.84	3.44162	148.08
25.2825	0.0786358	148.08	3.4452	148
25.4886	0.0789528	148.16	3.4452	148.16
25.5377	0.0790293	148.16	3.4452	148.16
25.0027	0.0781987	148	3.4452	148.32
26.4742	0.080461	148.48	3.44878	148.48
26.4239	0.0803845	148.4	3.44878	148.16
25.0781	0.0783189	148	3.4452	148.32
26.0344	0.0797943	148.32	3.44878	148.4
25.7182	0.0793135	148.24	3.4452	148.48
26.0977	0.0798927	148.32	3.44878	148.4
26.4203	0.0803845	148.4	3.44878	148.24
27.0591	0.0813463	148.64	3.45237	148.24
26.6029	0.0806578	148.48	3.44878	148.24
26.6293	0.0807015	148.48	3.44878	148.32
26.8906	0.0810949	148.56	3.45237	148.24
26.0606	0.0798381	148.32	3.44878	148.64
25.8581	0.0795211	148.24	3.4452	148.32
26.3814	0.0803299	148.4	3.44878	148.4
27.0574	0.0813463	148.56	3.45237	148.64
26.8679	0.0810621	148.56	3.45237	148.32
26.0198	0.0797725	148.32	3.44878	148.32
27.2051	0.0815649	148.64	3.45237	148.4
25.907	0.0795976	148.24	3.4452	148.72
26.6427	0.0807233	148.48	3.44878	148.72
26.8039	0.0809638	148.48	3.44878	148.56
27.5118	0.0820239	148.72	3.45237	148.4
27.4383	0.0819146	148.72	3.45237	148.64
26.3326	0.0802534	148.4	3.44878	148.64
26.3243	0.0802424	148.4	3.44878	148.32
25.9836	0.0797178	148.32	3.44878	148.56
27.1538	0.0814884	148.64	3.45237	148.56
26.0508	0.0798162	148.32	3.44878	148.56
27.2647	0.0816632	148.64	3.45237	148.4
26.3255	0.0802424	148.4	3.44878	148.4
27.4344	0.0819146	148.64	3.45237	148.64
26.6552	0.0807452	148.48	3.44878	148.72
27.507	0.0820239	148.72	3.45237	148.48
26.2628	0.0801441	148.4	3.44878	148.32
27.2652	0.0816632	148.72	3.45237	148.32
26.0759	0.0798599	148.32	3.44878	148.4
26.2623	0.0801441	148.4	3.44878	148.4
27.1475	0.0814774	148.56	3.45237	148.4
27.0571	0.0813463	148.64	3.45237	148.48
26.2698	0.080155	148.32	3.44878	148.56
26.935	0.0811605	148.56	3.45237	148.64
26.7902	0.0809419	148.48	3.44878	148.4
25.5951	0.0791167	148.16	3.4452	148.16
26.6955	0.0807998	148.48	3.44878	148.64
26.7348	0.0808654	148.56	3.45237	148.56
26.9519	0.0811933	148.56	3.45237	148.32
26.3883	0.0803408	148.4	3.44878	148.56
26.9402	0.0811714	148.56	3.45237	148.32
26.2132	0.0800676	148.4	3.44878	148.4
26.219	0.0800785	148.4	3.44878	148.32
26.1453	0.0799692	148.32	3.44878	148.4
25.6327	0.0791823	148.16	3.4452	148.32
25.9497	0.0796632	148.32	3.44878	148.32
25.1934	0.0784938	148	3.4452	148.08
26.2361	0.0801004	148.4	3.44878	148.16
25.0137	0.0782205	148	3.4452	148.32
25.5656	0.079073	148.24	3.4452	148.08
25.1375	0.0784063	148	3.4452	148.16
26.4024	0.0803517	148.4	3.44878	148.08
24.9082	0.0780457	148	3.4452	148.48
25.9548	0.0796741	148.24	3.4452	148.24
26.0991	0.0798927	148.4	3.44878	147.84
24.9421	0.0781003	148	3.4452	148.24
25.7995	0.0794337	148.24	3.4452	148.16
24.7495	0.0778052	147.92	3.4452	148.32
25.0129	0.0782096	148	3.4452	148.08
25.6181	0.0791495	148.16	3.4452	148.08
25.1497	0.0784282	148.08	3.4452	148.08
25.506	0.0789856	148.16	3.4452	147.84
25.5961	0.0791167	148.16	3.4452	148.16
25.1187	0.0783845	148.08	3.4452	147.76
24.2747	0.0770511	147.76	3.44162	147.68
24.9829	0.0781659	148	3.4452	147.68
25.0967	0.0783408	148.08	3.4452	147.84
24.0125	0.0766358	147.68	3.44162	147.92
24.1131	0.0767888	147.68	3.44162	147.84
25.0706	0.078308	148.08	3.4452	148
25.0596	0.0782861	148	3.4452	147.92
24.6476	0.0776413	147.84	3.44162	147.84
24.2759	0.0770511	147.76	3.44162	147.52
24.0376	0.0766686	147.68	3.44162	147.6
24.4908	0.0773899	147.84	3.44162	147.92
23.9126	0.0764719	147.68	3.44162	147.6
23.1875	0.0753024	147.36	3.43804	147.92
23.1849	0.0753024	147.36	3.43804	147.84
23.2452	0.0754008	147.36	3.43804	147.68
23.6125	0.075991	147.52	3.43804	147.84
24.0269	0.0766577	147.68	3.44162	147.84
22.9705	0.0749527	147.28	3.43804	147.68
23.0484	0.0750838	147.28	3.43804	147.76
23.4481	0.0757287	147.44	3.43804	147.52
23.1101	0.0751822	147.36	3.43804	147.6
22.643	0.0744172	147.2	3.43446	147.52
23.7585	0.0762314	147.6	3.43804	147.6
22.4532	0.0741002	147.12	3.43446	147.52
22.7665	0.0746139	147.2	3.43446	147.44
23.1162	0.0751931	147.36	3.43804	147.12
22.4606	0.0741111	147.12	3.43446	147.28
22.2647	0.0737942	147.04	3.43446	147.28
23.4667	0.0757615	147.44	3.43804	147.04
22.5177	0.0742095	147.12	3.43446	146.96
22.1372	0.0735756	146.96	3.43088	147.12
23.1189	0.0751931	147.36	3.43804	147.28
22.0503	0.0734335	146.96	3.43088	147.2
22.3585	0.0739472	147.04	3.43446	147.2
22.0918	0.07351	146.96	3.43088	146.72
22.1258	0.0735647	146.96	3.43088	147.28
21.9475	0.0732696	146.88	3.43088	147.04
21.462	0.0724499	146.64	3.4273	147.04
22.3624	0.0739581	147.04	3.43446	146.64
22.4405	0.0740784	147.12	3.43446	146.96
21.5133	0.0725373	146.72	3.43088	146.88
22.4794	0.0741439	147.12	3.43446	146.64
