a2231016.115556
LAquila  10/03/2022 16:11:30 10/03/2022 16:11:55 0000 0000.000000 0000.000000 00.0 00.0
0002001 0100 0000000 0000 06 0000000 0000 0000000 0000
1 0 1 16380 0 0400 3.75 01064.o 0 0 01 000 16 002001 0.500 BT0 "IR-Channel"
1 2 1 02000 0 0400 3.75 01064.o 0 0 01 000 16 002001 0.500 S2A0 "IR-Channel"
1 1 1 16380 1 0850 3.75 00355.o 0 0 00 000 00 002001 3.1746 BC0 "AIR-UV"
1 3 1 02000 1 0850 3.75 00355.o 0 0 00 000 00 002001 3.1746 S2P0 "AIR-UV"
1 1 1 00010 0 0810 3.75 00387.o 0 0 00 000 00 002001 3.1746 BC1 "N2-UV"
1 1 1 00010 1 0900 0015 00386.p 0 0 00 000 00 002001 3.1746 BC2 "N2-UV"
1064.000 .o Analog 0 	1064.000 .o Analog StDev 0 	355.000 .o Photon Counting 0 	355.000 .o PC StDev 0 	387.000 .o Photon Counting 1 	386.000 .p Photon Counting 2 
5.52036	0.000688106	0	0	0	0
5.46021	0.000667815	0	0	0	0
5.46815	0.000628512	0	0	0	0
5.50129	0.000598331	0	0	0	0
5.48162	0.000624249	0	0	0	0
5.4841	0.000704049	0	0	0	0
5.50411	0.000837135	0	0	0	0
5.46716	0.00118984	0	0	0	0
5.43372	0.000897411	0	0	0	0
5.47437	0.000971073	0	0	0	0
5.48905	0.00074267	0	0	0	0
5.46234	0.000681712	0	0	0	0
5.47432	0.000756141	0	0	0	0
5.49453	0.000637464	0	0	0	0
5.47724	0.00070439	0	0	0	0
5.46813	0.00061956	0	0	0	0
5.48196	0.000607709	0	0	0	0
5.48069	0.000631922	0	0	0	0
5.47661	0.000597478	0	0	0	0
5.48595	0.000594153	0	0	0	0
5.48276	0.00061291	0	0	0	0
5.47212	0.000592874	0	0	0	0
5.47625	0.000585798	0	0	0	0
5.48388	0.000595176	0	0	0	0
5.47365	0.000581962	0	0	0	0
5.47784	0.00059134	0	0	0	0
5.48261	0.000597222	0	0	0	0
5.47593	0.000573777	0	0	0	0
5.47558	0.000580427	0	0	0	0
5.47606	0.000580938	0	0	0	0
5.4768	0.000569088	0	0	0	0
5.47773	0.000565507	0	0	0	0
5.47973	0.000588271	0	0	0	0
5.478	0.000580853	0	0	0	0
