a2262915.371660
LAquila  29/06/2022 15:37:11 29/06/2022 15:37:16 0000 0000.000000 0000.000000 00.0 00.0
0000166 0010 0000000 0010 06 0000000 0010 0000000 0010
1 1 1 16380 1 0900 3.75 00532.o 0 0 00 000 00 000166 3.1746 BC0 "green"
1 3 1 02000 1 0900 3.75 00532.o 0 0 00 000 00 000166 3.1746 S2P0 "green"
1 0 1 16380 2 0900 3.75 01064.p 0 0 02 000 12 000166 0.500 BT1 "IR"
1 2 1 02000 2 0900 3.75 01064.p 0 0 02 000 12 000166 0.500 S2A1 "IR"
1 1 1 16380 2 0900 3.75 00355.s 0 0 00 000 00 000166 3.1746 BC1 "UV"
1 3 1 02000 2 0900 3.75 00355.s 0 0 00 000 00 000166 3.1746 S2P1 "UV"
532.000 .o Photon Counting 0 	532.000 .o PC StDev 0 	1064.000 .p Analog 1 	1064.000 .p Analog StDev 1 	355.000 .s Photon Counting 1 	355.000 .s PC StDev 1 
0.240964	0.243867	1.05624	0.0286812	0.240964	0.243867
0	0	1.03344	0.0283377	0.240964	0.243867
0.240964	0.243867	1.02682	0.0282805	0.240964	0.243867
0.240964	0.243867	1.04521	0.0285095	0.240964	0.243867
0	0	0.965768	0.0273645	0	0
0.240964	0.243867	0.942966	0.027021	0	0
0.240964	0.243867	1.0636	0.0287957	0.240964	0.243867
0.240964	0.243867	1.04962	0.0285667	0.240964	0.243867
0.240964	0.243867	1.05403	0.028624	0.240964	0.243867
0.240964	0.243867	1.03417	0.0283377	0.240964	0.243867
0.240964	0.243867	1.02535	0.0282232	0.240964	0.243867
0.240964	0.243867	1.00622	0.027937	0.240964	0.243867
0.240964	0.243867	1.06433	0.0287957	0.240964	0.243867
0	0	1.06507	0.0287957	0.240964	0.243867
0	0	0.974594	0.027479	0	0
0	0	1.03417	0.0283377	0.240964	0.243867
0	0	0.957677	0.02725	0	0
0	0	0.946644	0.0270783	0	0
0	0	1.0658	0.0287957	0.240964	0.243867
0.240964	0.243867	0.991512	0.0277653	0.240964	0.243867
0.240964	0.243867	1.02755	0.0282805	0.240964	0.243867
0	0	0.926784	0.026792	0	0
0.240964	0.243867	1.03197	0.0283377	0.240964	0.243867
0.240964	0.243867	1.02829	0.0282805	0.240964	0.243867
0.240964	0.243867	0.926049	0.026792	0	0
0.240964	0.243867	0.973123	0.027479	0	0
0	0	1.07242	0.0289102	0.240964	0.243867
0	0	0.992247	0.0277653	0.240964	0.243867
0.240964	0.243867	1.05183	0.028624	0.240964	0.243867
0.240964	0.243867	0.934139	0.0269065	0	0
0	0	0.942966	0.027021	0	0
0	0	0.994454	0.0277653	0.240964	0.243867
0	0	0.983421	0.0276508	0	0
0	0	1.07242	0.0289102	0.240964	0.243867
0.240964	0.243867	1.02388	0.0282232	0.240964	0.243867
0	0	0.948115	0.0270783	0	0
0	0	1.00696	0.0279943	0.240964	0.243867
0	0	1.04447	0.0285095	0.240964	0.243867
0	0	1.04888	0.0285667	0.240964	0.243867
0.240964	0.243867	0.953999	0.0271928	0	0
0	0	0.978272	0.0275363	0	0
0	0	1.07463	0.0289102	0.240964	0.243867
0	0	0.954735	0.0271928	0	0
0	0	0.990776	0.027708	0.240964	0.243867
0	0	0.935611	0.0269065	0	0
0	0	0.98195	0.0275935	0	0
0.240964	0.243867	1.06139	0.0287385	0.240964	0.243867
0	0	1.00402	0.027937	0.240964	0.243867
0	0	0.960619	0.0273073	0	0
0.240964	0.243867	0.942966	0.027021	0	0
0.240964	0.243867	0.954735	0.0271928	0	0
0.240964	0.243867	0.96209	0.0273073	0	0
0.240964	0.243867	0.994454	0.0277653	0.240964	0.243867
0	0	0.999603	0.0278798	0.240964	0.243867
0	0	0.956206	0.0271928	0	0
0.240964	0.243867	0.953999	0.0271928	0	0
0	0	0.965032	0.0273645	0	0
0	0	0.983421	0.0276508	0	0
0.240964	0.243867	0.998867	0.0278225	0.240964	0.243867
0.240964	0.243867	0.977537	0.0275363	0	0
0.240964	0.243867	0.985627	0.0276508	0	0
0.240964	0.243867	0.940024	0.0269638	0	0
0.240964	0.243867	0.976801	0.0275363	0	0
0	0	0.934875	0.0269065	0	0
0.240964	0.243867	0.923106	0.0267348	0	0
0.240964	0.243867	1.05992	0.0287385	0.240964	0.243867
0	0	1.0533	0.028624	0.240964	0.243867
0.240964	0.243867	0.94885	0.0270783	0	0
0	0	0.998867	0.0278225	0.240964	0.243867
0.240964	0.243867	1.01873	0.028166	0.240964	0.243867
0.240964	0.243867	0.938553	0.0269638	0	0
0	0	1.01064	0.0279943	0.240964	0.243867
0.240964	0.243867	0.992247	0.0277653	0.240964	0.243867
0.240964	0.243867	1.05698	0.0286812	0.240964	0.243867
0	0	0.924577	0.0267348	0	0
0.240964	0.243867	1.01946	0.028166	0.240964	0.243867
0	0	0.952528	0.0271928	0	0
0.240964	0.243867	0.987099	0.0276508	0	0
0	0	0.987099	0.0276508	0.240964	0.243867
0.240964	0.243867	0.972388	0.027479	0	0
0.240964	0.243867	1.05698	0.0286812	0.240964	0.243867
0.240964	0.243867	1.05183	0.028624	0.240964	0.243867
0	0	0.992247	0.0277653	0.240964	0.243867
0.240964	0.243867	1.07316	0.0289102	0.240964	0.243867
0.240964	0.243867	0.944437	0.027021	0	0
0	0	1.03932	0.0284522	0.240964	0.243867
